year,district,pop_total,age_0_19,age_20_39,age_40_64,age_65_79,age_80plus,pct_0_19,pct_20_39,pct_40_64,pct_65_79,pct_80plus
1979,Ville de Lausanne,128808,26810,41285,38246,17818,4649,0.2081,0.3205,0.2969,0.1383,0.0361
1980,1-Centre,12359,1937,4110,3766,2013,533,0.1567,0.3326,0.3047,0.1629,0.0431
1980,101-Rue Centrale,2115,267,785,619,352,92,0.1262,0.3712,0.2927,0.1664,0.0435
1980,102-Chauderon,2204,397,807,643,285,72,0.1801,0.3662,0.2917,0.1293,0.0327
1980,103-Flon,11,3,3,3,2,0,0.2727,0.2727,0.2727,0.1818,0.0
1980,104-Montbenon,174,22,33,63,48,8,0.1264,0.1897,0.3621,0.2759,0.046
1980,105-Gare/Petit-Chêne,1613,286,447,488,299,93,0.1773,0.2771,0.3025,0.1854,0.0577
1980,106-Georgette,1195,224,349,351,218,53,0.1874,0.2921,0.2937,0.1824,0.0444
1980,107-Avant-Poste,1665,232,395,536,384,118,0.1393,0.2372,0.3219,0.2306,0.0709
1980,108-Marterey,1882,283,677,630,245,47,0.1504,0.3597,0.3348,0.1302,0.025
1980,109-Cité,604,96,291,151,49,17,0.1589,0.4818,0.25,0.0811,0.0281
1980,110-Riponne/Tunnel,896,127,323,282,131,33,0.1417,0.3605,0.3147,0.1462,0.0368
1980,2-Maupas/Valency,13924,2380,4336,4425,2245,538,0.1709,0.3114,0.3178,0.1612,0.0386
1980,201-Maupas,3045,525,1002,990,426,102,0.1724,0.3291,0.3251,0.1399,0.0335
1980,202-Av. d'Echallens,3892,653,1351,1141,614,133,0.1678,0.3471,0.2932,0.1578,0.0342
1980,203-Montétan,2279,340,666,727,421,125,0.1492,0.2922,0.319,0.1847,0.0548
1980,204-Chablière,2538,485,823,819,336,75,0.1911,0.3243,0.3227,0.1324,0.0296
1980,205-Valency,2170,377,494,748,448,103,0.1737,0.2276,0.3447,0.2065,0.0475
1980,3-Sébeillon/Malley,8352,1787,2680,2521,1069,295,0.214,0.3209,0.3018,0.128,0.0353
1980,301-Av. de Morges,2913,569,1038,881,350,75,0.1953,0.3563,0.3024,0.1202,0.0257
1980,302-Rue de Sébeillon,19,5,3,11,0,0,0.2632,0.1579,0.5789,0.0,0.0
1980,303-Tivoli,2073,409,611,637,321,95,0.1973,0.2947,0.3073,0.1548,0.0458
1980,304-Prélaz,2126,426,589,670,323,118,0.2004,0.277,0.3151,0.1519,0.0555
1980,305-Gare de Sébeillon,17,4,6,4,3,0,0.2353,0.3529,0.2353,0.1765,0.0
1980,306-Av. de Provence,3,1,2,0,0,0,0.3333,0.6667,0.0,0.0,0.0
1980,307-Malley,1201,373,431,318,72,7,0.3106,0.3589,0.2648,0.06,0.0058
1980,4-Montoie/Bourdonnette,6836,1913,2399,1767,621,136,0.2798,0.3509,0.2585,0.0908,0.0199
1980,401-Montoie,3087,678,986,953,376,94,0.2196,0.3194,0.3087,0.1218,0.0305
1980,402-Vallée de la Jeunesse,12,6,4,2,0,0,0.5,0.3333,0.1667,0.0,0.0
1980,403-Pyramides,1331,411,457,343,99,21,0.3088,0.3434,0.2577,0.0744,0.0158
1980,404-Prés-de-Vidy,732,154,292,179,94,13,0.2104,0.3989,0.2445,0.1284,0.0178
1980,405-Bourget,9,3,0,6,0,0,0.3333,0.0,0.6667,0.0,0.0
1980,406-Bourdonnette,1665,661,660,284,52,8,0.397,0.3964,0.1706,0.0312,0.0048
1980,5-Montriond/Cour,7792,1423,2362,2410,1285,312,0.1826,0.3031,0.3093,0.1649,0.04
1980,501-Marc-Dufour,2847,496,845,849,526,131,0.1742,0.2968,0.2982,0.1848,0.046
1980,502-Milan,10,4,4,2,0,0,0.4,0.4,0.2,0.0,0.0
1980,503-Les Cèdres,77,9,56,9,2,1,0.1169,0.7273,0.1169,0.026,0.013
1980,504-Cour,2016,344,684,601,316,71,0.1706,0.3393,0.2981,0.1567,0.0352
1980,505-Mont-d'Or,2838,570,772,946,441,109,0.2008,0.272,0.3333,0.1554,0.0384
1980,506-Bellerive,4,0,1,3,0,0,0.0,0.25,0.75,0.0,0.0
1980,Ville de Lausanne,128571,26524,41418,38141,17693,4795,0.2063,0.3221,0.2967,0.1376,0.0373
1981,1-Centre,12235,1853,4151,3744,1925,562,0.1515,0.3393,0.306,0.1573,0.0459
1981,10-Vallon/Béthusy,6413,996,2247,1861,1018,291,0.1553,0.3504,0.2902,0.1587,0.0454
1981,1001-Le Vallon,1484,226,688,420,117,33,0.1523,0.4636,0.283,0.0788,0.0222
1981,1002-Hôpitaux,318,79,153,64,18,4,0.2484,0.4811,0.2013,0.0566,0.0126
1981,1003-Victor-Ruffy,2395,381,765,744,402,103,0.1591,0.3194,0.3106,0.1678,0.043
1981,1004-Béthusy,2216,310,641,633,481,151,0.1399,0.2893,0.2856,0.2171,0.0681
1981,101-Rue Centrale,2129,261,800,630,348,90,0.1226,0.3758,0.2959,0.1635,0.0423
1981,102-Chauderon,2250,395,853,648,283,71,0.1756,0.3791,0.288,0.1258,0.0316
1981,103-Flon,11,3,3,3,2,0,0.2727,0.2727,0.2727,0.1818,0.0
1981,104-Montbenon,170,19,35,63,42,11,0.1118,0.2059,0.3706,0.2471,0.0647
1981,105-Gare/Petit-Chêne,1557,264,445,470,283,95,0.1696,0.2858,0.3019,0.1818,0.061
1981,106-Georgette,1153,207,329,353,202,62,0.1795,0.2853,0.3062,0.1752,0.0538
1981,107-Avant-Poste,1634,226,388,526,373,121,0.1383,0.2375,0.3219,0.2283,0.0741
1981,108-Marterey,1854,270,684,621,226,53,0.1456,0.3689,0.335,0.1219,0.0286
1981,109-Cité,590,93,280,152,45,20,0.1576,0.4746,0.2576,0.0763,0.0339
1981,11-Chailly/Rovéréaz,8646,1829,2820,2510,1113,374,0.2115,0.3262,0.2903,0.1287,0.0433
1981,110-Riponne/Tunnel,887,115,334,278,121,39,0.1297,0.3766,0.3134,0.1364,0.044
1981,1101-Chailly,4533,925,1617,1331,533,127,0.2041,0.3567,0.2936,0.1176,0.028
1981,1102-Plaisante,1374,334,412,373,195,60,0.2431,0.2999,0.2715,0.1419,0.0437
1981,1103-Bois de Rovéréaz,11,1,5,4,1,0,0.0909,0.4545,0.3636,0.0909,0.0
1981,1104-Craivavers,651,157,161,225,92,16,0.2412,0.2473,0.3456,0.1413,0.0246
1981,1105-Devin,2077,412,625,577,292,171,0.1984,0.3009,0.2778,0.1406,0.0823
1981,12-Sallaz/Vennes/Séchaud,9911,2696,3582,2462,868,303,0.272,0.3614,0.2484,0.0876,0.0306
1981,1201-La Sallaz,3002,598,953,905,439,107,0.1992,0.3175,0.3015,0.1462,0.0356
1981,1202-Vennes,560,76,277,113,37,57,0.1357,0.4946,0.2018,0.0661,0.1018
1981,1203-Route de Berne,1086,361,331,268,106,20,0.3324,0.3048,0.2468,0.0976,0.0184
1981,1204-Valmont,1117,280,338,387,90,22,0.2507,0.3026,0.3465,0.0806,0.0197
1981,1205-Grangette,531,134,211,137,47,2,0.2524,0.3974,0.258,0.0885,0.0038
1981,1206-Praz-Séchaud,1292,570,511,161,28,22,0.4412,0.3955,0.1246,0.0217,0.017
1981,1207-Ch. des Roches,336,78,72,96,39,51,0.2321,0.2143,0.2857,0.1161,0.1518
1981,2-Maupas/Valency,13882,2372,4382,4357,2188,583,0.1709,0.3157,0.3139,0.1576,0.042
1981,201-Maupas,3036,514,995,992,421,114,0.1693,0.3277,0.3267,0.1387,0.0375
1981,202-Av. d'Echallens,3829,647,1354,1108,575,145,0.169,0.3536,0.2894,0.1502,0.0379
1981,203-Montétan,2268,354,664,706,419,125,0.1561,0.2928,0.3113,0.1847,0.0551
1981,204-Chablière,2583,500,859,817,327,80,0.1936,0.3326,0.3163,0.1266,0.031
1981,205-Valency,2166,357,510,734,446,119,0.1648,0.2355,0.3389,0.2059,0.0549
1981,3-Sébeillon/Malley,8358,1775,2702,2514,1058,309,0.2124,0.3233,0.3008,0.1266,0.037
1981,301-Av. de Morges,2861,582,1005,863,336,75,0.2034,0.3513,0.3016,0.1174,0.0262
1981,302-Rue de Sébeillon,20,6,5,9,0,0,0.3,0.25,0.45,0.0,0.0
1981,303-Tivoli,2036,383,608,630,316,99,0.1881,0.2986,0.3094,0.1552,0.0486
1981,304-Prélaz,2164,407,634,667,330,126,0.1881,0.293,0.3082,0.1525,0.0582
1981,305-Gare de Sébeillon,18,4,7,4,3,0,0.2222,0.3889,0.2222,0.1667,0.0
1981,306-Av. de Provence,3,1,2,0,0,0,0.3333,0.6667,0.0,0.0,0.0
1981,307-Malley,1256,392,441,341,73,9,0.3121,0.3511,0.2715,0.0581,0.0072
1981,4-Montoie/Bourdonnette,6848,1895,2408,1797,628,120,0.2767,0.3516,0.2624,0.0917,0.0175
1981,401-Montoie,3045,663,982,940,376,84,0.2177,0.3225,0.3087,0.1235,0.0276
1981,402-Vallée de la Jeunesse,12,6,3,3,0,0,0.5,0.25,0.25,0.0,0.0
1981,403-Pyramides,1341,412,462,348,103,16,0.3072,0.3445,0.2595,0.0768,0.0119
1981,404-Prés-de-Vidy,760,157,305,189,96,13,0.2066,0.4013,0.2487,0.1263,0.0171
1981,405-Bourget,12,1,5,6,0,0,0.0833,0.4167,0.5,0.0,0.0
1981,406-Bourdonnette,1678,656,651,311,53,7,0.3909,0.388,0.1853,0.0316,0.0042
1981,5-Montriond/Cour,7772,1387,2356,2419,1296,314,0.1785,0.3031,0.3112,0.1668,0.0404
1981,501-Marc-Dufour,2868,505,850,858,528,127,0.1761,0.2964,0.2992,0.1841,0.0443
1981,502-Milan,10,5,3,2,0,0,0.5,0.3,0.2,0.0,0.0
1981,503-Les Cèdres,74,9,53,9,2,1,0.1216,0.7162,0.1216,0.027,0.0135
1981,504-Cour,1961,320,668,588,309,76,0.1632,0.3406,0.2998,0.1576,0.0388
1981,505-Mont-d'Or,2855,548,781,959,457,110,0.1919,0.2736,0.3359,0.1601,0.0385
1981,506-Bellerive,4,0,1,3,0,0,0.0,0.25,0.75,0.0,0.0
1981,6-Sous-Gare/Ouchy,11408,1920,3425,3576,1938,549,0.1683,0.3002,0.3135,0.1699,0.0481
1981,601-Grancy,3665,641,1206,1069,576,173,0.1749,0.3291,0.2917,0.1572,0.0472
1981,602-Harpe,4776,791,1351,1560,839,235,0.1656,0.2829,0.3266,0.1757,0.0492
1981,603-Av. d'Ouchy,1405,249,387,442,261,66,0.1772,0.2754,0.3146,0.1858,0.047
1981,604-Ouchy,1562,239,481,505,262,75,0.153,0.3079,0.3233,0.1677,0.048
1981,7-Montchoisi,3935,711,1086,1238,692,208,0.1807,0.276,0.3146,0.1759,0.0529
1981,701-Montchoisi,3721,673,1043,1155,657,193,0.1809,0.2803,0.3104,0.1766,0.0519
1981,702-Elysée,214,38,43,83,35,15,0.1776,0.2009,0.3879,0.1636,0.0701
1981,8-Florimont/Chissiez,5637,1066,1827,1675,823,246,0.1891,0.3241,0.2971,0.146,0.0436
1981,801-Florimont,1976,329,504,648,366,129,0.1665,0.2551,0.3279,0.1852,0.0653
1981,802-Av. Rambert,1105,242,277,365,178,43,0.219,0.2507,0.3303,0.1611,0.0389
1981,803-Chissiez,2556,495,1046,662,279,74,0.1937,0.4092,0.259,0.1092,0.029
1981,9-Mousquines/Bellevue,2424,553,669,766,347,89,0.2281,0.276,0.316,0.1432,0.0367
1981,901-Mon-Repos,176,27,38,63,36,12,0.1534,0.2159,0.358,0.2045,0.0682
1981,902-Av. Secrétan,1653,417,411,520,250,55,0.2523,0.2486,0.3146,0.1512,0.0333
1981,903-Ch. de la Vuachère,595,109,220,183,61,22,0.1832,0.3697,0.3076,0.1025,0.037
1981,Ville de Lausanne,128525,26013,41864,38157,17518,4973,0.2024,0.3257,0.2969,0.1363,0.0387
1982,1-Centre,12255,1887,4181,3760,1852,575,0.154,0.3412,0.3068,0.1511,0.0469
1982,10-Vallon/Béthusy,6340,975,2246,1851,976,292,0.1538,0.3543,0.292,0.1539,0.0461
1982,1001-Le Vallon,1486,232,688,424,110,32,0.1561,0.463,0.2853,0.074,0.0215
1982,1002-Hôpitaux,314,82,149,59,20,4,0.2611,0.4745,0.1879,0.0637,0.0127
1982,1003-Victor-Ruffy,2327,349,739,747,385,107,0.15,0.3176,0.321,0.1654,0.046
1982,1004-Béthusy,2213,312,670,621,461,149,0.141,0.3028,0.2806,0.2083,0.0673
1982,101-Rue Centrale,2161,273,823,648,324,93,0.1263,0.3808,0.2999,0.1499,0.043
1982,102-Chauderon,2209,379,863,628,265,74,0.1716,0.3907,0.2843,0.12,0.0335
1982,103-Flon,8,3,2,1,2,0,0.375,0.25,0.125,0.25,0.0
1982,104-Montbenon,172,21,38,63,40,10,0.1221,0.2209,0.3663,0.2326,0.0581
1982,105-Gare/Petit-Chêne,1585,284,476,467,266,92,0.1792,0.3003,0.2946,0.1678,0.058
1982,106-Georgette,1173,225,331,354,199,64,0.1918,0.2822,0.3018,0.1697,0.0546
1982,107-Avant-Poste,1633,224,383,527,371,128,0.1372,0.2345,0.3227,0.2272,0.0784
1982,108-Marterey,1868,278,680,641,215,54,0.1488,0.364,0.3431,0.1151,0.0289
1982,109-Cité,587,89,276,154,48,20,0.1516,0.4702,0.2624,0.0818,0.0341
1982,11-Chailly/Rovéréaz,8653,1787,2804,2561,1103,398,0.2065,0.324,0.296,0.1275,0.046
1982,110-Riponne/Tunnel,859,111,309,277,122,40,0.1292,0.3597,0.3225,0.142,0.0466
1982,1101-Chailly,4571,906,1642,1349,534,140,0.1982,0.3592,0.2951,0.1168,0.0306
1982,1102-Plaisante,1373,323,397,395,186,72,0.2353,0.2891,0.2877,0.1355,0.0524
1982,1103-Bois de Rovéréaz,11,2,4,4,1,0,0.1818,0.3636,0.3636,0.0909,0.0
1982,1104-Craivavers,649,156,157,229,91,16,0.2404,0.2419,0.3529,0.1402,0.0247
1982,1105-Devin,2049,400,604,584,291,170,0.1952,0.2948,0.285,0.142,0.083
1982,12-Sallaz/Vennes/Séchaud,9949,2674,3587,2500,889,299,0.2688,0.3605,0.2513,0.0894,0.0301
1982,1201-La Sallaz,2989,591,970,883,439,106,0.1977,0.3245,0.2954,0.1469,0.0355
1982,1202-Vennes,569,83,275,105,48,58,0.1459,0.4833,0.1845,0.0844,0.1019
1982,1203-Route de Berne,1081,338,333,281,107,22,0.3127,0.308,0.2599,0.099,0.0204
1982,1204-Valmont,1082,268,323,383,89,19,0.2477,0.2985,0.354,0.0823,0.0176
1982,1205-Grangette,597,149,248,145,54,1,0.2496,0.4154,0.2429,0.0905,0.0017
1982,1206-Praz-Séchaud,1292,568,480,195,26,23,0.4396,0.3715,0.1509,0.0201,0.0178
1982,1207-Ch. des Roches,345,77,75,104,38,51,0.2232,0.2174,0.3014,0.1101,0.1478
1982,2-Maupas/Valency,13758,2296,4424,4293,2118,627,0.1669,0.3216,0.312,0.1539,0.0456
1982,201-Maupas,3014,514,999,983,400,118,0.1705,0.3315,0.3261,0.1327,0.0392
1982,202-Av. d'Echallens,3819,614,1397,1093,553,162,0.1608,0.3658,0.2862,0.1448,0.0424
1982,203-Montétan,2258,331,680,708,406,133,0.1466,0.3012,0.3136,0.1798,0.0589
1982,204-Chablière,2543,508,847,781,327,80,0.1998,0.3331,0.3071,0.1286,0.0315
1982,205-Valency,2124,329,501,728,432,134,0.1549,0.2359,0.3427,0.2034,0.0631
1982,3-Sébeillon/Malley,8373,1741,2766,2500,1057,309,0.2079,0.3303,0.2986,0.1262,0.0369
1982,301-Av. de Morges,2858,574,1029,851,332,72,0.2008,0.36,0.2978,0.1162,0.0252
1982,302-Rue de Sébeillon,17,6,3,8,0,0,0.3529,0.1765,0.4706,0.0,0.0
1982,303-Tivoli,2044,373,629,636,311,95,0.1825,0.3077,0.3112,0.1522,0.0465
