year,district,dw_total,dw_lt40,dw_40_59,dw_60_79,dw_80_99,dw_100_119,dw_120_159,dw_160plus,pct_small_surface,pct_large_surface
2013,8 - Florimont/Chissiez,3182,411,734,756,451,238,351,241,0.3598,0.186
2013,9 - Mousquines/Bellevue,1370,95,233,328,170,138,210,196,0.2394,0.2964
2013,90 - Zones foraines,1259,69,120,126,132,171,360,281,0.1501,0.5091
2014,1 - Centre,8261,1856,1690,2011,1295,622,557,230,0.4292,0.0953
2014,10 - Vallon/Béthusy,3615,566,1055,992,551,231,160,60,0.4484,0.0609
2014,11 - Chailly/Rovéréaz,4721,629,943,1214,739,397,395,404,0.333,0.1692
2014,12 - Sallaz/Vennes/Séchaud,6230,1079,1057,1391,1345,795,412,151,0.3429,0.0904
2014,13 - Sauvabelin,378,68,49,166,73,15,6,1,0.3095,0.0185
2014,14 - Borde/Bellevaux,5135,626,1577,1730,710,327,128,37,0.429,0.0321
2014,15 - Vinet/Pontaise,4492,1009,1204,1246,551,275,151,56,0.4927,0.0461
2014,16 - Bossons/Blécherette,3342,206,798,1461,545,246,74,12,0.3004,0.0257
2014,17 - Beaulieu/Grey/Boisy,3213,123,556,805,822,658,214,35,0.2113,0.0775
2014,2 - Maupas/Valency,7949,1166,2653,2571,944,333,211,71,0.4804,0.0355
2014,3 - Sébeillon/Malley,5184,695,1281,1766,773,453,153,63,0.3812,0.0417
2014,4 - Montoie/Bourdonette,3667,506,1022,1268,610,167,67,27,0.4167,0.0256
2014,5 - Montriond/Cour,4614,586,1032,1453,788,364,238,153,0.3507,0.0847
2014,6 - Sous-Gare/Ouchy,6340,943,1493,1684,1020,604,392,204,0.3842,0.094
2014,7 - Montchoisi,2209,233,590,774,305,123,125,59,0.3726,0.0833
2014,8 - Florimont/Chissiez,3190,411,732,756,455,238,356,242,0.3583,0.1875
2014,9 - Mousquines/Bellevue,1372,94,235,330,171,138,209,195,0.2398,0.2945
2014,90 - Zones foraines,1271,71,120,125,132,177,363,283,0.1503,0.5083
