year,district,pop_total,pop_swiss,pop_foreign,pop_men_total,pop_men_swiss,pop_men_foreign,pop_women_total,pop_women_swiss,pop_women_foreign,pct_foreign,pct_swiss
2014,1502-Valentin,2682,1625,1057,1284.0,710,574,1398,915,483,0.3941,0.6059
2014,1503-Pontaise,2727,1430,1297,1354.0,670,684,1373,760,613,0.4756,0.5244
2014,16-Bossons/Blécherette,7381,4245,3136,3494.0,1877,1617,3887,2368,1519,0.4249,0.5751
2014,1601-Stade,9,5,4,7.0,3,4,2,2,0,0.4444,0.5556
2014,1602-Ancien-Stand,995,544,451,440.0,232,208,555,312,243,0.4533,0.5467
2014,1603-Bois-Mermet,81,45,36,49.0,22,27,32,23,9,0.4444,0.5556
2014,1604-Bois-Gentil,4069,2267,1802,1927.0,984,943,2142,1283,859,0.4429,0.5571
2014,1605-Bossons,2221,1378,843,1068.0,633,435,1153,745,408,0.3796,0.6204
2014,1606-Blécherette,6,6,0,3.0,3,0,3,3,0,0.0,1.0
2014,17-Beaulieu/Grey/Boisy,6178,4632,1546,2856.0,2047,809,3322,2585,737,0.2502,0.7498
2014,1701-Beaulieu,241,117,124,128.0,68,60,113,49,64,0.5145,0.4855
2014,1702-Bergières,2120,1650,470,1008.0,756,252,1112,894,218,0.2217,0.7783
2014,1703-Pierrefleur,3817,2865,952,1720.0,1223,497,2097,1642,455,0.2494,0.7506
2014,2-Maupas/Valency,13598,7465,6133,6518.0,3298,3220,7080,4167,2913,0.451,0.549
2014,201-Maupas,2758,1494,1264,1362.0,697,665,1396,797,599,0.4583,0.5417
2014,202-Av. d'Echallens,3872,1905,1967,1867.0,854,1013,2005,1051,954,0.508,0.492
2014,203-Montétan,2303,1356,947,1107.0,594,513,1196,762,434,0.4112,0.5888
2014,204-Chablière,2803,1629,1174,1334.0,707,627,1469,922,547,0.4188,0.5812
2014,205-Valency,1862,1081,781,848.0,446,402,1014,635,379,0.4194,0.5806
2014,3-Sébeillon/Malley,10322,5037,5285,5106.0,2377,2729,5216,2660,2556,0.512,0.488
2014,301-Av. de Morges,3303,1577,1726,1720.0,777,943,1583,800,783,0.5226,0.4774
2014,302-Rue de Sébeillon,37,19,18,20.0,11,9,17,8,9,0.4865,0.5135
2014,303-Tivoli,2311,1233,1078,1134.0,604,530,1177,629,548,0.4665,0.5335
2014,304-Prélaz,2974,1385,1589,1425.0,610,815,1549,775,774,0.5343,0.4657
2014,305-Gare de Sébeillon,4,2,2,3.0,2,1,1,0,1,0.5,0.5
2014,306-Av. de Provence,4,4,0,2.0,2,0,2,2,0,0.0,1.0
2014,307-Malley,1689,817,872,802.0,371,431,887,446,441,0.5163,0.4837
2014,4-Montoie/Bourdonnette,7573,3793,3780,3733.0,1767,1966,3840,2026,1814,0.4991,0.5009
2014,401-Montoie,3036,1677,1359,1448.0,746,702,1588,931,657,0.4476,0.5524
2014,402-Vallée de la Jeunesse,365,215,150,188.0,108,80,177,107,70,0.411,0.589
2014,403-Pyramides,1389,661,728,720.0,316,404,669,345,324,0.5241,0.4759
2014,404-Prés-de-Vidy,657,294,363,344.0,144,200,313,150,163,0.5525,0.4475
2014,405-Bourget,15,9,6,11.0,7,4,4,2,2,0.4,0.6
2014,406-Bourdonnette,2111,937,1174,1022.0,446,576,1089,491,598,0.5561,0.4439
2014,5-Montriond/Cour,8258,4967,3291,3980.0,2241,1739,4278,2726,1552,0.3985,0.6015
2014,501-Marc-Dufour,2924,2031,893,1414.0,929,485,1510,1102,408,0.3054,0.6946
2014,502-Milan,2,2,0,1.0,1,0,1,1,0,0.0,1.0
2014,503-Les Cèdres,266,65,201,157.0,38,119,109,27,82,0.7556,0.2444
2014,504-Cour,2206,1258,948,1065.0,569,496,1141,689,452,0.4297,0.5703
2014,505-Mont-d'Or,2854,1605,1249,1339.0,700,639,1515,905,610,0.4376,0.5624
2014,506-Bellerive,6,6,0,4.0,4,0,2,2,0,0.0,1.0
2014,6-Sous-Gare/Ouchy,10753,6756,3997,5089.0,3001,2088,5664,3755,1909,0.3717,0.6283
2014,601-Grancy,3905,2394,1511,1940.0,1123,817,1965,1271,694,0.3869,0.6131
2014,602-Harpe,4164,2808,1356,1883.0,1201,682,2281,1607,674,0.3256,0.6744
2014,603-Av. d'Ouchy,1232,841,391,557.0,357,200,675,484,191,0.3174,0.6826
2014,604-Ouchy,1452,713,739,709.0,320,389,743,393,350,0.509,0.491
2014,7-Montchoisi,3589,2240,1349,1648.0,976,672,1941,1264,677,0.3759,0.6241
2014,701-Montchoisi,3365,2078,1287,1544.0,901,643,1821,1177,644,0.3825,0.6175
2014,702-Elysée,224,162,62,104.0,75,29,120,87,33,0.2768,0.7232
2014,8-Florimont/Chissiez,5555,3296,2259,2615.0,1451,1164,2940,1845,1095,0.4067,0.5933
2014,801-Florimont,1893,1238,655,879.0,538,341,1014,700,314,0.346,0.654
2014,802-Av. Rambert,1126,777,349,526.0,358,168,600,419,181,0.3099,0.6901
2014,803-Chissiez,2536,1281,1255,1210.0,555,655,1326,726,600,0.4949,0.5051
2014,9-Mousquines/Bellevue,2568,1593,975,1223.0,730,493,1345,863,482,0.3797,0.6203
2014,90-Zones foraines,3828,2471,1357,1913.0,1250,663,1915,1221,694,0.3545,0.6455
2014,901-Mon-Repos,175,121,54,90.0,61,29,85,60,25,0.3086,0.6914
2014,9010-Les Râpes,3112,1894,1218,1528.0,945,583,1584,949,635,0.3914,0.6086
2014,902-Av. Secrétan,1731,1082,649,793.0,482,311,938,600,338,0.3749,0.6251
2014,9020-Montheron,141,120,21,84.0,67,17,57,53,4,0.1489,0.8511
2014,903-Ch. de la Vuachère,662,390,272,340.0,187,153,322,203,119,0.4109,0.5891
