year,district,pop_total,pop_swiss,pop_foreign,pop_men_total,pop_men_swiss,pop_men_foreign,pop_women_total,pop_women_swiss,pop_women_foreign,pct_foreign,pct_swiss
1984,1402-Rouvraie,2283,1896,387,1072.0,874,198,1211,1022,189,0.1695,0.8305
1984,1403-Bellevaux,4918,3966,952,2275.0,1751,524,2643,2215,428,0.1936,0.8064
1984,1404-Rte du Signal,686,544,142,343.0,261,82,343,283,60,0.207,0.793
1984,15-Vinet/Pontaise,7464,5330,2134,3211.0,2060,1151,4253,3270,983,0.2859,0.7141
1984,1501-Pré-du-Marché,2142,1502,640,857.0,542,315,1285,960,325,0.2988,0.7012
1984,1502-Valentin,2811,2125,686,1183.0,805,378,1628,1320,308,0.244,0.756
1984,1503-Pontaise,2511,1703,808,1171.0,713,458,1340,990,350,0.3218,0.6782
1984,16-Bossons/Blécherette,5670,4600,1070,2669.0,2065,604,3001,2535,466,0.1887,0.8113
1984,1602-Ancien-Stand,921,865,56,422.0,388,34,499,477,22,0.0608,0.9392
1984,1603-Bois-Mermet,44,33,11,22.0,13,9,22,20,2,0.25,0.75
1984,1604-Bois-Gentil,3211,2537,674,1503.0,1123,380,1708,1414,294,0.2099,0.7901
1984,1605-Bossons,1481,1152,329,715.0,534,181,766,618,148,0.2221,0.7779
1984,1606-Blécherette,13,13,0,7.0,7,0,6,6,0,0.0,1.0
1984,17-Beaulieu/Grey/Boisy,5424,4740,684,2510.0,2121,389,2914,2619,295,0.1261,0.8739
1984,1702-Bergières,2275,1922,353,1064.0,858,206,1211,1064,147,0.1552,0.8448
1984,1703-Pierrefleur,3149,2818,331,1446.0,1263,183,1703,1555,148,0.1051,0.8949
1984,2-Maupas/Valency,13715,9666,4049,6268.0,4078,2190,7447,5588,1859,0.2952,0.7048
1984,201-Maupas,2992,1851,1141,1399.0,791,608,1593,1060,533,0.3814,0.6186
1984,202-Av. d'Echallens,3844,2413,1431,1794.0,1018,776,2050,1395,655,0.3723,0.6277
1984,203-Montétan,2267,1790,477,998.0,735,263,1269,1055,214,0.2104,0.7896
1984,204-Chablière,2533,1851,682,1178.0,812,366,1355,1039,316,0.2692,0.7308
1984,205-Valency,2079,1761,318,899.0,722,177,1180,1039,141,0.153,0.847
1984,3-Sébeillon/Malley,8424,5588,2836,4095.0,2513,1582,4329,3075,1254,0.3367,0.6633
1984,301-Av. de Morges,2952,1748,1204,1442.0,796,646,1510,952,558,0.4079,0.5921
1984,302-Rue de Sébeillon,25,20,5,16.0,12,4,9,8,1,0.2,0.8
1984,303-Tivoli,2018,1512,506,969.0,664,305,1049,848,201,0.2507,0.7493
1984,304-Prélaz,2172,1379,793,1042.0,608,434,1130,771,359,0.3651,0.6349
1984,305-Gare de Sébeillon,13,7,6,6.0,4,2,7,3,4,0.4615,0.5385
1984,306-Av. de Provence,4,4,0,2.0,2,0,2,2,0,0.0,1.0
1984,307-Malley,1240,918,322,618.0,427,191,622,491,131,0.2597,0.7403
1984,4-Montoie/Bourdonnette,6646,4726,1920,3144.0,2081,1063,3502,2645,857,0.2889,0.7111
1984,401-Montoie,2990,2253,737,1353.0,945,408,1637,1308,329,0.2465,0.7535
1984,402-Vallée de la Jeunesse,11,11,0,8.0,8,0,3,3,0,0.0,1.0
1984,403-Pyramides,1282,925,357,613.0,415,198,669,510,159,0.2785,0.7215
1984,404-Prés-de-Vidy,722,499,223,375.0,240,135,347,259,88,0.3089,0.6911
1984,405-Bourget,10,6,4,7.0,4,3,3,2,1,0.4,0.6
1984,406-Bourdonnette,1631,1032,599,788.0,469,319,843,563,280,0.3673,0.6327
1984,5-Montriond/Cour,7597,5930,1667,3580.0,2636,944,4017,3294,723,0.2194,0.7806
1984,501-Marc-Dufour,2790,2294,496,1321.0,1047,274,1469,1247,222,0.1778,0.8222
1984,502-Milan,9,9,0,6.0,6,0,3,3,0,0.0,1.0
1984,503-Les Cèdres,75,40,35,66.0,31,35,9,9,0,0.4667,0.5333
1984,504-Cour,1924,1408,516,912.0,611,301,1012,797,215,0.2682,0.7318
1984,505-Mont-d'Or,2793,2176,617,1271.0,939,332,1522,1237,285,0.2209,0.7791
1984,506-Bellerive,6,3,3,4.0,2,2,2,1,1,0.5,0.5
1984,6-Sous-Gare/Ouchy,11475,8683,2792,5249.0,3739,1510,6226,4944,1282,0.2433,0.7567
1984,601-Grancy,3895,2887,1008,1856.0,1276,580,2039,1611,428,0.2588,0.7412
1984,602-Harpe,4709,3822,887,2103.0,1635,468,2606,2187,419,0.1884,0.8116
1984,603-Av. d'Ouchy,1389,1037,352,595.0,417,178,794,620,174,0.2534,0.7466
1984,604-Ouchy,1482,937,545,695.0,411,284,787,526,261,0.3677,0.6323
1984,7-Montchoisi,3829,2880,949,1606.0,1157,449,2223,1723,500,0.2478,0.7522
1984,701-Montchoisi,3623,2728,895,1515.0,1087,428,2108,1641,467,0.247,0.753
1984,702-Elysée,206,152,54,91.0,70,21,115,82,33,0.2621,0.7379
1984,8-Florimont/Chissiez,5586,4201,1385,2471.0,1773,698,3115,2428,687,0.2479,0.7521
1984,801-Florimont,1988,1491,497,866.0,636,230,1122,855,267,0.25,0.75
1984,802-Av. Rambert,1105,896,209,472.0,376,96,633,520,113,0.1891,0.8109
1984,803-Chissiez,2493,1814,679,1133.0,761,372,1360,1053,307,0.2724,0.7276
1984,9-Mousquines/Bellevue,2474,1901,573,1052.0,821,231,1422,1080,342,0.2316,0.7684
1984,90-Zones foraines,1727,1424,303,874.0,708,166,853,716,137,0.1754,0.8246
1984,901-Mon-Repos,169,141,28,76.0,63,13,93,78,15,0.1657,0.8343
1984,9010-Les Râpes,1260,987,273,634.0,485,149,626,502,124,0.2167,0.7833
1984,902-Av. Secrétan,1698,1264,434,691.0,531,160,1007,733,274,0.2556,0.7444
1984,9020-Montheron,149,145,4,75.0,72,3,74,73,1,0.0268,0.9732
1984,903-Ch. de la Vuachère,607,496,111,285.0,227,58,322,269,53,0.1829,0.8171
1984,9030-Vernand,318,292,26,165.0,151,14,153,141,12,0.0818,0.9182
