year,district,hh_total,hh_1person,hh_2persons,hh_3persons,hh_4persons,hh_5persons,hh_6plus,hh_mean_size,pct_1person,pct_small_hh
2023,1102 - Plaisante,708,285,206,82,93,27,15,2.1963,0.4025,0.6935
2023,1103 - Bois de Rovéréaz,27,5,9,5,3,2,3,3.0,0.1852,0.5185
2023,1104 - Craivavers,341,73,110,59,69,20,10,2.6862,0.2141,0.5367
2023,1105 - Devin,971,436,244,111,129,40,11,2.1112,0.449,0.7003
2023,12 - Sallaz/Vennes/Séchaud,6960,2766,1736,992,897,408,161,2.2944,0.3974,0.6468
2023,1201 - La Sallaz,1798,876,434,221,190,60,17,1.9944,0.4872,0.7286
2023,1202 - Vennes,652,293,145,63,79,47,25,2.2975,0.4494,0.6718
2023,1203 - Rte de Berne,1524,555,417,237,211,76,28,2.3097,0.3642,0.6378
2023,1204 - Valmont,533,270,123,81,37,17,5,1.9268,0.5066,0.7373
2023,1205 - Grangette,690,208,174,104,103,69,32,2.6797,0.3014,0.5536
2023,1206 - Praz-Séchaud,742,141,171,149,153,91,37,3.0404,0.19,0.4205
2023,1207 - Ch. des Roches,164,38,52,37,23,11,3,2.5671,0.2317,0.5488
2023,1208 - Grand-Vennes,857,385,220,100,101,37,14,2.1144,0.4492,0.706
2023,13 - Sauvabelin,371,103,78,90,74,21,5,2.6011,0.2776,0.4879
2023,1301 - Sauvabelin,28,9,7,5,5,2,0,2.4286,0.3214,0.5714
2023,1302 - Pré-Fleuri,343,94,71,85,69,19,5,2.6152,0.2741,0.481
2023,14 - Borde/Bellevaux,4794,2268,1268,551,437,207,63,2.0194,0.4731,0.7376
2023,1401 - Borde,983,444,255,118,97,45,24,2.1251,0.4517,0.7111
2023,1402 - Rouvraie,936,456,278,105,72,21,4,1.8675,0.4872,0.7842
2023,1403 - Bellevaux,2502,1190,640,288,228,124,32,2.0344,0.4756,0.7314
2023,1404 - Rte du Signal,373,178,95,40,40,17,3,2.0214,0.4772,0.7319
2023,15 - Vinet/Pontaise,4165,2329,1058,419,252,85,22,1.7501,0.5592,0.8132
2023,1501 - Pré-du-Marché,1135,672,281,102,58,17,5,1.667,0.5921,0.8396
2023,1502 - Valentin,1585,906,398,153,94,24,10,1.7205,0.5716,0.8227
2023,1503 - Pontaise,1445,751,379,164,100,44,7,1.8478,0.5197,0.782
2023,16 - Bossons/Blécherette,4141,1660,1139,598,506,175,63,2.1908,0.4009,0.6759
2023,1601 - Stade,1,0,0,1,0,0,0,3.0,0.0,0.0
2023,1602 - Ancien-Stand,323,83,78,66,55,30,11,2.7368,0.257,0.4985
2023,1603 - Bois-Mermet,29,11,8,7,2,1,0,2.1034,0.3793,0.6552
2023,1604 - Bois-Gentil,1919,787,516,265,241,80,30,2.1824,0.4101,0.679
2023,1605 - Bossons,1797,765,512,241,195,62,22,2.0902,0.4257,0.7106
2023,1606 - Blécherette,72,14,25,18,13,2,0,2.5,0.1944,0.5417
2023,17 - Beaulieu/Grey/Boisy,3064,1305,934,391,305,101,28,2.0454,0.4259,0.7307
2023,1701 - Beaulieu,110,33,38,19,19,1,0,2.2455,0.3,0.6455
2023,1702 - Bergières,1084,419,338,157,107,52,11,2.1504,0.3865,0.6983
2023,1703 - Pierrefleur,1870,853,558,215,179,48,17,1.9727,0.4561,0.7545
2023,2 - Maupas/Valency,7723,4261,1985,840,464,129,44,1.7558,0.5517,0.8088
2023,201 - Maupas,1708,1015,409,161,96,24,3,1.6633,0.5943,0.8337
2023,202 - Av. d'Echallens,2094,1131,585,214,118,31,15,1.755,0.5401,0.8195
2023,203 - Montétan,1328,743,320,165,74,19,7,1.7455,0.5595,0.8005
2023,204 - Chablière,1499,719,411,195,121,40,13,1.9353,0.4797,0.7538
2023,205 - Valency,1094,653,260,105,55,15,6,1.6682,0.5969,0.8346
2023,3 - Sébeillon/Malley,5771,2741,1538,728,484,199,81,1.9925,0.475,0.7415
2023,301 - Av. de Morges,1948,997,528,185,155,61,22,1.8927,0.5118,0.7829
2023,302 - Rue de Sébeillon,84,22,21,20,17,3,1,2.5476,0.2619,0.5119
2023,303 - Tivoli,1199,577,359,155,78,25,5,1.8616,0.4812,0.7807
2023,304 - Prélaz,1433,708,328,193,115,49,40,2.0433,0.4941,0.723
2023,305 - Gare de Sébeillon,420,179,130,63,32,12,4,2.0095,0.4262,0.7357
2023,306 - Av. de Provence,1,0,1,0,0,0,0,2.0,0.0,1.0
2023,307 - Malley,686,258,171,112,87,49,9,2.3207,0.3761,0.6254
2023,4 - Montoie/Bourdonnette,3752,1763,950,466,357,158,58,2.0482,0.4699,0.7231
2023,401 - Montoie,1886,971,492,202,137,69,15,1.8871,0.5148,0.7757
2023,402 - Vallée de la Jeunesse,140,40,34,29,27,9,1,2.5357,0.2857,0.5286
2023,403 - Pyramides,670,353,161,77,50,20,9,1.894,0.5269,0.7672
2023,404 - Prés-de-Vidy,433,274,92,35,22,6,4,1.6374,0.6328,0.8453
2023,405 - Bourget,3,0,2,1,0,0,0,2.3333,0.0,0.6667
2023,406 - Bourdonnette,620,125,169,122,121,54,29,2.8806,0.2016,0.4742
2023,5 - Montriond/Cour,4364,2140,1203,527,377,89,28,1.8964,0.4904,0.766
2023,501 - Marc-Dufour,1606,863,426,177,100,33,7,1.7808,0.5374,0.8026
2023,503 - Les Cèdres,21,11,5,2,3,0,0,1.8571,0.5238,0.7619
2023,504 - Cour,1152,522,341,144,113,22,10,1.9688,0.4531,0.7491
2023,505 - Mont-d'Or,1582,743,431,202,161,34,11,1.9608,0.4697,0.7421
2023,506 - Bellerive,3,1,0,2,0,0,0,2.3333,0.3333,0.3333
