year,district,establishments,jobs_total,jobs_men,jobs_women,fte_total,fte_men,fte_women,pct_jobs_women,pct_fte_women,gender_fte_gap
2013,1 - Centre,4738,46306.0,22529,23777.0,35113.17028200001,18902.466119299927,16210.70416270008,0.5135,0.4617,0.0518
2013,10 - Vallon/Béthusy,338,11557.0,4013,7544.0,9725.3480835,3654.1825648999998,6071.165518599999,0.6528,0.6243,0.0285
2013,11 - Chailly/Rovéréaz,410,2516.0,1014,1502.0,1832.8893805999999,829.4033485000002,1003.4860320999996,0.597,0.5475,0.0495
2013,12 - Sallaz/Vennes/Séchaud,507,6914.0,3697,3217.0,5562.0239774000065,3272.7796819000023,2289.2442955000042,0.4653,0.4116,0.0537
2013,13 - Sauvabelin,34,501.0,241,260.0,432.34393480000006,221.20135589999998,211.14257890000007,0.519,0.4884,0.0306
2013,14 - Borde/Bellevaux,372,2308.0,1262,1046.0,1750.0775176999996,1066.1754581,683.9020595999996,0.4532,0.3908,0.0624
2013,15 - Vinet/Pontaise,486,2612.0,986,1626.0,1880.0531942999992,803.2321083000004,1076.8210859999988,0.6225,0.5728,0.0497
2013,16 - Bossons/Blécherette,305,3076.0,1610,1466.0,2511.7454062000024,1441.6684292000007,1070.0769770000018,0.4766,0.426,0.0506
2013,17 - Beaulieu/Grey/Boisy,209,1959.0,922,1037.0,1601.7909691999998,827.8849684000003,773.9060007999996,0.5294,0.4832,0.0462
2013,2 - Maupas/Valency,672,3132.0,1411,1721.0,2319.0568333000015,1164.3361556,1154.7206777000015,0.5495,0.4979,0.0516
2013,3 - Sébeillon/Malley,885,9235.0,5896,3339.0,7528.673678300003,5167.28873980001,2361.384938499993,0.3616,0.3137,0.0479
2013,4 - Montoie/Bourdonnette,288,3289.0,1736,1553.0,2646.2047786000007,1560.6581495000003,1085.5466291000005,0.4722,0.4102,0.062
2013,5 - Montriond/Cour,478,6801.0,3738,3063.0,5838.149142699998,3406.273619300003,2431.8755233999955,0.4504,0.4165,0.0339
2013,6 - Sous-Gare/Ouchy,1013,8134.0,4271,3863.0,6375.467780099996,3603.1029739000014,2772.3648061999947,0.4749,0.4348,0.0401
2013,7 - Montchoisi,179,1173.0,490,683.0,894.6305977999997,418.3255467999999,476.30505099999976,0.5823,0.5324,0.0499
2013,8 - Florimont/Chissiez,310,1336.0,585,751.0,1053.6604909000002,502.40322779999934,551.257263100001,0.5621,0.5232,0.0389
2013,9 - Mousquines/Bellevue,181,1090.0,552,538.0,883.5168574999996,489.8909179,393.6259395999996,0.4936,0.4455,0.0481
2013,90 - Zones foraines,253,3212.0,1777,1435.0,2572.0405021000015,1558.9591256999997,1013.0813764000018,0.4468,0.3939,0.0529
